State,Variable,Spending
Wyoming,Pupil_support,984
Alabama,Instruction_support,394
Alaska,Instruction_support,"1,371"
Arizona,Instruction_support,412
Arkansas,Instruction_support,822
California,Instruction_support,689
Colorado,Instruction_support,590
Connecticut,Instruction_support,618
Delaware,Instruction_support,273
District of Columbia,Instruction_support,826
Florida,Instruction_support,565
Georgia,Instruction_support,503
Hawaii,Instruction_support,442
Idaho,Instruction_support,348
Illinois,Instruction_support,529
Indiana,Instruction_support,389
Iowa,Instruction_support,643
Kansas,Instruction_support,391
Kentucky,Instruction_support,557
Louisiana,Instruction_support,579
Maine,Instruction_support,696
Maryland,Instruction_support,757
Massachusetts,Instruction_support,855
Michigan,Instruction_support,591
Minnesota,Instruction_support,627
Mississippi,Instruction_support,409
Missouri,Instruction_support,478
Montana,Instruction_support,416
Nebraska,Instruction_support,389
Nevada,Instruction_support,535
New Hampshire,Instruction_support,515
New Jersey,Instruction_support,594
New Mexico,Instruction_support,252
New York,Instruction_support,553
North Carolina,Instruction_support,323
North Dakota,Instruction_support,460
Ohio,Instruction_support,507
Oklahoma,Instruction_support,321
Oregon,Instruction_support,432
Pennsylvania,Instruction_support,534
Rhode Island,Instruction_support,649
South Carolina,Instruction_support,628
South Dakota,Instruction_support,343
Tennessee,Instruction_support,520
Texas,Instruction_support,479
Utah,Instruction_support,283
Vermont,Instruction_support,857
Virginia,Instruction_support,759
Washington,Instruction_support,893
West Virginia,Instruction_support,467
Wisconsin,Instruction_support,609
Wyoming,Instruction_support,936
Alabama,general_admin.,240
Alaska,general_admin.,248
Arizona,general_admin.,135
Arkansas,general_admin.,244
California,general_admin.,133
Colorado,general_admin.,149
Connecticut,general_admin.,437
Delaware,general_admin.,174
District of Columbia,general_admin.,"2,260"
Florida,general_admin.,82
Georgia,general_admin.,119
Hawaii,general_admin.,97
Idaho,general_admin.,157
Illinois,general_admin.,544
Indiana,general_admin.,196
Iowa,general_admin.,289
Kansas,general_admin.,242
Kentucky,general_admin.,233
Louisiana,general_admin.,326
Maine,general_admin.,487
Maryland,general_admin.,109
Massachusetts,general_admin.,186
Michigan,general_admin.,196
Minnesota,general_admin.,439
Mississippi,general_admin.,289
Missouri,general_admin.,363
Montana,general_admin.,358
Nebraska,general_admin.,352
Nevada,general_admin.,128
New Hampshire,general_admin.,557
New Jersey,general_admin.,368
New Mexico,general_admin.,203
New York,general_admin.,349
North Carolina,general_admin.,97
North Dakota,general_admin.,575
Ohio,general_admin.,347
Oklahoma,general_admin.,238
Oregon,general_admin.,152
Pennsylvania,general_admin.,442
Rhode Island,general_admin.,216
South Carolina,general_admin.,102
South Dakota,general_admin.,316
Tennessee,general_admin.,197
Texas,general_admin.,136
Utah,general_admin.,67
Vermont,general_admin.,418
Virginia,general_admin.,185
Washington,general_admin.,126
West Virginia,general_admin.,197
Wisconsin,general_admin.,336
Wyoming,general_admin.,326
Alabama,school_admin.,573
Alaska,school_admin.,"1,072"
Arizona,school_admin.,364
Arkansas,school_admin.,514
California,school_admin.,757
Colorado,school_admin.,695
Connecticut,school_admin.,"1,124"
Delaware,school_admin.,957
District of Columbia,school_admin.,"1,447"
Florida,school_admin.,495
Georgia,school_admin.,610
Hawaii,school_admin.,924
Idaho,school_admin.,411
Illinois,school_admin.,733
Indiana,school_admin.,595
Iowa,school_admin.,636
Kansas,school_admin.,583
Kentucky,school_admin.,574
Louisiana,school_admin.,659
Maine,school_admin.,762
Maryland,school_admin.,980
Massachusetts,school_admin.,700
Michigan,school_admin.,631
Minnesota,school_admin.,493
Mississippi,school_admin.,524
